Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Other Role Description - (Value),Sources,Notes
INDIGO-POJ-0096,INDIGO-ORG-0095,,,,
INDIGO-POJ-0097,INDIGO-ORG-0872,Performance management,,,
INDIGO-POJ-0097,INDIGO-ORG-0856,,,,
INDIGO-POJ-0097,INDIGO-ORG-0605,,,,
INDIGO-POJ-0097,INDIGO-ORG-0873,,,,
INDIGO-POJ-0097,INDIGO-ORG-0874,,,,
INDIGO-POJ-0098,INDIGO-ORG-0033,Performance management,,,
INDIGO-POJ-0098,INDIGO-ORG-0034,,,,
INDIGO-POJ-0098,INDIGO-ORG-0605,,,,
INDIGO-POJ-0099,INDIGO-ORG-1030,Performance management,,,
INDIGO-POJ-0099,INDIGO-ORG-1031,,,,
INDIGO-POJ-0099,INDIGO-ORG-1032,,,,
INDIGO-POJ-0099,INDIGO-ORG-0034,,,,
INDIGO-POJ-0100,INDIGO-ORG-0928,Performance management,,,
INDIGO-POJ-0100,INDIGO-ORG-0856,,,,
INDIGO-POJ-0101,INDIGO-ORG-0623,Performance management,,,
INDIGO-POJ-0101,INDIGO-ORG-0856,,,,
INDIGO-POJ-0101,INDIGO-ORG-0626,,,,
INDIGO-POJ-0102,INDIGO-ORG-0604,Performance management,,,
INDIGO-POJ-0102,INDIGO-ORG-0605,,,,
INDIGO-POJ-0102,INDIGO-ORG-0034,,,,
INDIGO-POJ-0102,INDIGO-ORG-0607,,,,
INDIGO-POJ-0102,INDIGO-ORG-0608,,,,
INDIGO-POJ-0103,INDIGO-ORG-0888,Performance management,,,
INDIGO-POJ-0103,INDIGO-ORG-0856,,,,
INDIGO-POJ-0104,INDIGO-ORG-0296,Performance management,,,
INDIGO-POJ-0104,INDIGO-ORG-0856,,,,
INDIGO-POJ-0105,INDIGO-ORG-0292,Performance management,,,
INDIGO-POJ-0105,INDIGO-ORG-0164,,,,
INDIGO-POJ-0106,INDIGO-ORG-0292,Performance management,,,
INDIGO-POJ-0106,INDIGO-ORG-0163,,,,
INDIGO-POJ-0106,INDIGO-ORG-0164,,,,
INDIGO-POJ-0107,INDIGO-ORG-0292,Performance management,,,
INDIGO-POJ-0107,INDIGO-ORG-0163,,,,
INDIGO-POJ-0107,INDIGO-ORG-0164,,,,
INDIGO-POJ-0108,INDIGO-ORG-0260,Performance management,,,
INDIGO-POJ-0108,INDIGO-ORG-0261,,,,
INDIGO-POJ-0111,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0111,INDIGO-ORG-0690,,,,
INDIGO-POJ-0113,INDIGO-ORG-0146,,,,
INDIGO-POJ-0114,INDIGO-ORG-0059,,,,
INDIGO-POJ-0114,INDIGO-ORG-0063,,,,
INDIGO-POJ-0116,INDIGO-ORG-0121,Other,Fund management,,
INDIGO-POJ-0116,INDIGO-ORG-1553,,,,
INDIGO-POJ-0117,INDIGO-ORG-0063,,,,
INDIGO-POJ-0117,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0118,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0119,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0120,INDIGO-ORG-0491,Performance management,,,
INDIGO-POJ-0120,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0120,INDIGO-ORG-0492,,,,
INDIGO-POJ-0120,INDIGO-ORG-0063,,,,
INDIGO-POJ-0120,INDIGO-ORG-0493,,,,
INDIGO-POJ-0120,INDIGO-ORG-0494,,,,
INDIGO-POJ-0121,INDIGO-ORG-0121,Other,Fund management,,
INDIGO-POJ-0124,INDIGO-ORG-0063,,,,
INDIGO-POJ-0126,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0127,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0128,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0129,INDIGO-ORG-0059,,,,
INDIGO-POJ-0129,INDIGO-ORG-0063,,,,
INDIGO-POJ-0130,INDIGO-ORG-0264,Performance management,,,
INDIGO-POJ-0130,INDIGO-ORG-0063,,,,
INDIGO-POJ-0130,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0131,INDIGO-ORG-0002,Performance management,,,
INDIGO-POJ-0132,INDIGO-ORG-0002,Performance management,,,
INDIGO-POJ-0133,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0133,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0134,INDIGO-ORG-0380,Performance management,,,
INDIGO-POJ-0134,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0135,INDIGO-ORG-0380,Performance management,,,
INDIGO-POJ-0136,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0137,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0137,INDIGO-ORG-0121,Other,Fund management,,
INDIGO-POJ-0138,INDIGO-ORG-0373,,,,
INDIGO-POJ-0139,INDIGO-ORG-0483,,,,
INDIGO-POJ-0140,INDIGO-ORG-0063,,,,
INDIGO-POJ-0141,INDIGO-ORG-0121,Other,Fund Management,,
