Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Maximum potential Outcome payment - Currency - (Value),Maximum potential Outcome payment - Amount - (Value),Maximum potential Outcome payment - Amount USD - (Value),Result type - (Value),Period - Start - (Value),Period - End - (Value),Total outcome payments made - Currency - (Value),Total outcome payments made - Amount - (Value),Total outcome payments made - Amount USD - (Value),Alterations to payment commitment - Description - (Value),Alterations to payment commitment - Reason - (Value),Sources,Notes
INDIGO-POJ-0145,INDIGO-ORG-0047,,,3000000,,,,,,,,,,,
INDIGO-POJ-0146,INDIGO-ORG-0047,,GBP,3300000,,,,,,,,,,,
INDIGO-POJ-0147,INDIGO-ORG-0047,,,3200000,,,,,,,,,,,
INDIGO-POJ-0148,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0148,INDIGO-ORG-0432,,,,,,,,,,,,,,
INDIGO-POJ-0149,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0149,INDIGO-ORG-0432,,,,,,,,,,,,,,
INDIGO-POJ-0150,INDIGO-ORG-0114,,,,,,,,,,,,,,
INDIGO-POJ-0150,INDIGO-ORG-0115,,,,,,,,,,,,,,
INDIGO-POJ-0151,INDIGO-ORG-0714,,,,,,,,,,,,,,
INDIGO-POJ-0151,INDIGO-ORG-0306,,GBP,113684,,,,,,,,,,,
INDIGO-POJ-0151,INDIGO-ORG-1088,Government/Public Sector/Public Bank,,,,,,,,,,,,,Northamptonshire County Council took the commissioning of the project over from about Summer 2018.
INDIGO-POJ-0152,INDIGO-ORG-0088,,,2000000,,,,,,,,,,,
INDIGO-POJ-0152,INDIGO-ORG-0432,,,1000000,,,,,,,,,,,
INDIGO-POJ-0153,INDIGO-ORG-0005,,,,,,,,,,,,,,
INDIGO-POJ-0153,INDIGO-ORG-0306,,,,,,,,,,,,,,
INDIGO-POJ-0154,INDIGO-ORG-0256,,,,,,,,,,,,,,
INDIGO-POJ-0154,INDIGO-ORG-0088,,GBP,2629000,,,,,,,,,,,
INDIGO-POJ-0155,INDIGO-ORG-0925,,,,,,,,,,,,,,
INDIGO-POJ-0155,INDIGO-ORG-0926,,,,,,,,,,,,,,
