Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Investment Commitment - Currency - (Value),Investment Commitment - Amount - Min - (Value),Investment Commitment - Amount - Exact - (Value),Investment Commitment - Amount - Max - (Value),Investment Commitment - Amount USD - Min - (Value),Investment Commitment - Amount USD - Exact - (Value),Investment Commitment - Amount USD - Max - (Value),Maximum Potential loss - (Value),Maximum Potential Return Type - (Value),Maximum Potential Return - (Value),Investor Repayment - (Value),Investment Type - (Value),Sources,Notes
INDIGO-POJ-0091,investment7,INDIGO-ORG-0565,,,,,,,,,,,,,senior loan (housing stability),,
INDIGO-POJ-0091,investment8,INDIGO-ORG-0566,,,,,,,,,,,,,senior loan (housing stability),,
INDIGO-POJ-0092,investment1,INDIGO-ORG-0520,,,,,,,,,,,,,,,
INDIGO-POJ-0092,investment2,INDIGO-ORG-0521,,,,,,,,,,,,,,,
INDIGO-POJ-0092,investment3,INDIGO-ORG-0522,,,,,,,,,,,,,,,
INDIGO-POJ-0092,investment4,INDIGO-ORG-0511,,,,,,,,,,,,,,,
INDIGO-POJ-0093,investment1,INDIGO-ORG-0018,,,,,,,,,,,,,,,
INDIGO-POJ-0093,investment2,INDIGO-ORG-0009,,,,,,,,,,,,,,,
INDIGO-POJ-0093,investment3,INDIGO-ORG-0099,,,,,,,,,,,,,,,
INDIGO-POJ-0093,investment4,INDIGO-ORG-0109,,,,,,,,,,,,,,,
INDIGO-POJ-0093,investment5,INDIGO-ORG-0110,,,,,,,,,,,,,,,
INDIGO-POJ-0093,investment6,INDIGO-ORG-0111,,,,,,,,,,,,,,,
INDIGO-POJ-0093,investment7,INDIGO-ORG-0112,,,,,,,,,,,,,,,
INDIGO-POJ-0094,investment1,INDIGO-ORG-0419,,,,,,,,,,,,,risk share payment in case of underperformance,,risk share payment in case of underperformance
INDIGO-POJ-0094,investment2,INDIGO-ORG-0334,,,,,,,,,,,,,risk share payment in case of underperformance,,risk share payment in case of underperformance
INDIGO-POJ-0095,investment1,INDIGO-ORG-0097,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0095,investment2,INDIGO-ORG-0098,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0095,investment3,INDIGO-ORG-0009,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0095,investment4,INDIGO-ORG-0100,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0095,investment5,INDIGO-ORG-0101,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0095,investment6,INDIGO-ORG-0310,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0096,investment1,INDIGO-ORG-0097,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment2,INDIGO-ORG-0098,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment3,INDIGO-ORG-0009,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment4,INDIGO-ORG-0099,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment5,INDIGO-ORG-0100,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0096,investment6,INDIGO-ORG-0101,,,,,,,,,,,,,subordinate loan,,
